Age,Sex,L,M,S,T,Percentiles_3,Percentiles_5,Percentiles_10,Percentiles_25,Percentiles_50,Percentiles_75,Percentiles_90,Percentiles_95,Percentiles_97
3,M,0.83,18692,0.13,2.76,13763,14426,15409,16984,18692,20428,22080,23136,23860
4,M,0.84,19576,0.14,2.73,14248,14966,16031,17733,19576,21446,23225,24365,25145
5,M,0.86,20281,0.14,2.71,14490,15273,16433,18282,20281,22309,24238,25475,26324
6,M,0.87,20613,0.15,2.69,14342,15192,16449,18451,20613,22805,24892,26232,27152
7,M,0.87,20365,0.16,2.66,13837,14723,16033,18116,20365,22646,24822,26221,27183
8,M,0.86,19828,0.17,2.64,13308,14193,15500,17581,19828,22111,24295,25703,26672
9,M,0.84,19110,0.17,2.61,12737,13601,14877,16911,19110,21350,23501,24892,25853
10,M,0.81,18168,0.17,2.59,11877,12726,13983,15991,18168,20396,22544,23939,24906
11,M,0.78,16955,0.19,2.57,10623,11472,12731,14752,16955,19224,21425,22863,23862
12,M,0.74,15686,0.21,2.54,9311,10155,11415,13449,15686,18008,20282,21777,22822
13,M,0.69,14774,0.22,2.52,8482,9303,10536,12543,14774,17115,19431,20968,22048
14,M,0.61,14179,0.22,2.49,8203,8971,10131,12037,14179,16453,18732,20260,21342
15,M,0.51,13737,0.22,2.47,8165,8870,9940,11716,13737,15916,18134,19642,20718
16,M,0.37,13424,0.22,2.44,8154,8805,9802,11479,13424,15566,17795,19340,20457
17,M,0.19,13250,0.22,2.42,8161,8770,9713,11328,13250,15430,17772,19439,20667
18,M,-0.02,13345,0.23,2.4,8291,8874,9787,11385,13345,15651,18233,20139,21581
19,M,-0.24,13855,0.24,2.37,8645,9223,10139,11777,13855,16407,19413,21740,23564
3,F,1.25,18907,0.13,2.02,13139,14049,15300,17111,18907,20663,22353,23476,24272
4,F,1.2,19524,0.13,2.1,13784,14671,15901,17709,19524,21307,23017,24146,24942
5,F,1.16,20203,0.13,2.18,14421,15295,16522,18348,20203,22032,23782,24931,25736
6,F,1.11,20706,0.13,2.26,14861,15728,16956,18807,20706,22586,24381,25553,26372
7,F,1.06,20658,0.13,2.34,14837,15685,16897,18743,20658,22561,24375,25554,26373
8,F,1.02,20144,0.14,2.42,14410,15231,16414,18237,20144,22048,23861,25034,25847
9,F,0.97,19365,0.14,2.5,13735,14528,15679,17471,19365,21263,23069,24234,25038
10,F,0.93,18425,0.15,2.58,12883,13650,14774,16541,18425,20323,22128,23290,24090
11,F,0.88,17348,0.16,2.66,11878,12622,13722,15468,17348,19253,21067,22232,23032
12,F,0.84,16280,0.17,2.74,10850,11577,12657,14392,16280,18204,20040,21219,22027
13,F,0.79,15461,0.18,2.82,10005,10722,11796,13542,15461,17432,19317,20528,21357
14,F,0.75,14923,0.19,2.9,9401,10113,11189,12956,14923,16957,18912,20167,21027
15,F,0.7,14612,0.21,2.98,9022,9729,10807,12598,14612,16714,18742,20046,20940
16,F,0.66,14408,0.21,3.06,8792,9490,10562,12361,14408,16561,18648,19992,20913
17,F,0.61,14209,0.22,3.14,8631,9313,10368,12155,14209,16387,18508,19877,20815
18,F,0.56,14186,0.22,3.22,8627,9296,10338,12119,14186,16394,18554,19952,20911
19,F,0.52,14515,0.22,3.3,8876,9546,10594,12400,14515,16789,19025,20475,21470
